text,sentiment,source,date
Reliance reports 11% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352796
ITC reports 30% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353902
ITC shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353871
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353519
Reliance reports 21% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353269
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354810
Firm faces bankruptcy risk as debt levels reach critical levels,0,manual,2025-10-26T13:43:54.359857
Bharti Airtel shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353328
TCS faces 28% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352172
Infosys stock falls 23% after earnings miss,0,synthetic,2025-10-26T13:43:54.351857
HDFC Bank reports 16% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352414
Reliance stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352829
L&T stock falls 7% after earnings miss,0,synthetic,2025-10-26T13:43:54.354653
L&T shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354871
Bharti Airtel stock falls 18% after earnings miss,0,synthetic,2025-10-26T13:43:54.354275
ITC reports 10% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.351991
ITC stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354368
Asian Paints stock falls 10% after earnings miss,0,synthetic,2025-10-26T13:43:54.352891
TCS faces 14% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352229
TCS shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352675
Infosys shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354957
L&T stock falls 12% after earnings miss,0,synthetic,2025-10-26T13:43:54.353580
Reliance stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352549
TCS faces 12% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354245
Reliance shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353239
Reliance reports 17% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354111
Bharti Airtel faces 15% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352319
HDFC Bank reports 24% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353179
Bharti Airtel faces 19% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353116
TCS faces 22% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352141
Asian Paints shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354519
Kotak Bank faces 27% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352202
Stock falls to yearly low amid concerns over declining profitability,0,manual,2025-10-26T13:43:54.359857
L&T stock falls 6% after earnings miss,0,synthetic,2025-10-26T13:43:54.354307
Hindustan Unilever shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352735
ITC stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354338
Kotak Bank stock falls 17% after earnings miss,0,synthetic,2025-10-26T13:43:54.352016
Hindustan Unilever stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353816
Infosys faces 24% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353610
Asian Paints stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353084
Kotak Bank faces 15% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352962
Asian Paints stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352352
L&T faces 13% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353933
HDFC Bank faces 27% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352933
Asian Paints faces 22% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352081
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353210
ITC shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353987
ITC stock falls 20% after earnings miss,0,synthetic,2025-10-26T13:43:54.354019
HDFC Bank reports 15% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352706
L&T shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352443
TCS faces 25% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354490
Kotak Bank reports 12% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352640
TCS faces 23% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354142
Bharti Airtel faces 10% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353401
HDFC Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352257
L&T stock falls 16% after earnings miss,0,synthetic,2025-10-26T13:43:54.352608
HDFC Bank shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.351966
Infosys shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352383
Reliance stock falls 25% after earnings miss,0,synthetic,2025-10-26T13:43:54.353055
Infosys stock falls 13% after earnings miss,0,synthetic,2025-10-26T13:43:54.352110
ITC shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354400
Bharti Airtel reports 14% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352042
HDFC Bank stock falls 24% after earnings miss,0,synthetic,2025-10-26T13:43:54.353960
L&T faces 22% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.352995
Infosys reports 19% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354718
ITC faces 19% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354460
Infosys faces 26% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353551
Asian Paints reports 12% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353431
Infosys stock falls 11% after earnings miss,0,synthetic,2025-10-26T13:43:54.354051
Kotak Bank shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353298
Stock plummets 20% following disappointing quarterly results,0,manual,2025-10-26T13:43:54.359857
TCS stock falls 15% after earnings miss,0,synthetic,2025-10-26T13:43:54.353777
Shares crash on news of regulatory investigation and compliance issues,0,manual,2025-10-26T13:43:54.359857
Kotak Bank shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.354900
ITC stock falls 19% after earnings miss,0,synthetic,2025-10-26T13:43:54.353148
Kotak Bank faces 17% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353685
Reliance shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353369
ITC reports 23% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354687
Infosys shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353653
HDFC Bank reports 23% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354202
Infosys stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352860
ITC reports 26% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354930
Asian Paints faces 28% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.353716
ITC reports 16% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353843
TCS stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.354608
L&T shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.353026
Hindustan Unilever stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352765
L&T stock falls 19% after earnings miss,0,synthetic,2025-10-26T13:43:54.354779
Infosys shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.351915
ITC reports 22% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353489
Asian Paints shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352518
TCS faces 23% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.351942
Asian Paints shares tumble on regulatory concerns,0,synthetic,2025-10-26T13:43:54.352579
Kotak Bank faces 20% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354581
ITC reports 11% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354841
L&T reports 10% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354172
ITC stock falls 24% after earnings miss,0,synthetic,2025-10-26T13:43:54.354549
Asian Paints stock falls 23% after earnings miss,0,synthetic,2025-10-26T13:43:54.354431
Kotak Bank stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.352472
Hindustan Unilever reports 19% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.353746
Bharti Airtel reports 28% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.354081
HDFC Bank reports 17% drop in revenue amid challenges,0,synthetic,2025-10-26T13:43:54.352288
TCS faces 14% decline in quarterly profits,0,synthetic,2025-10-26T13:43:54.354749
Hindustan Unilever stock hits 52-week low on weak guidance,0,synthetic,2025-10-26T13:43:54.353460
Company warns of significant losses due to market headwinds,0,manual,2025-10-26T13:43:54.359857
Infosys stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352806
ITC results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353910
L&T announces routine management changes,1,synthetic,2025-10-26T13:43:54.353881
Reliance stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353530
Kotak Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.353278
L&T reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.354821
Company announces routine operational updates with minimal market impact,1,manual,2025-10-26T13:43:54.359857
Asian Paints results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353336
ITC reports in-line Q3 results,1,synthetic,2025-10-26T13:43:54.352184
Reliance results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.351888
Reliance stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352423
ITC maintains steady performance with 6% growth,1,synthetic,2025-10-26T13:43:54.352838
Reliance maintains steady performance with 6% growth,1,synthetic,2025-10-26T13:43:54.354664
ITC reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.354881
Bharti Airtel announces routine management changes,1,synthetic,2025-10-26T13:43:54.354285
TCS reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.351997
Infosys maintains steady performance with 5% growth,1,synthetic,2025-10-26T13:43:54.354378
Reliance results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.352900
TCS stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352237
HDFC Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.352684
Kotak Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.354965
HDFC Bank reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.353589
TCS stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352559
HDFC Bank maintains steady performance with 3% growth,1,synthetic,2025-10-26T13:43:54.354254
Infosys maintains steady performance with 8% growth,1,synthetic,2025-10-26T13:43:54.353248
Infosys announces routine management changes,1,synthetic,2025-10-26T13:43:54.354121
L&T stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352328
TCS reports in-line Q2 results,1,synthetic,2025-10-26T13:43:54.353190
L&T reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.353125
ITC maintains steady performance with 7% growth,1,synthetic,2025-10-26T13:43:54.352150
ITC results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.354528
Kotak Bank stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352211
Quarterly results show consistent performance in line with forecasts,1,manual,2025-10-26T13:43:54.359857
Hindustan Unilever maintains steady performance with 6% growth,1,synthetic,2025-10-26T13:43:54.354316
TCS stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352744
L&T maintains steady performance with 7% growth,1,synthetic,2025-10-26T13:43:54.354347
TCS maintains steady performance with 8% growth,1,synthetic,2025-10-26T13:43:54.352024
TCS reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.353824
Kotak Bank maintains steady performance with 5% growth,1,synthetic,2025-10-26T13:43:54.353619
Kotak Bank stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353094
Bharti Airtel reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.352972
HDFC Bank maintains steady performance with 3% growth,1,synthetic,2025-10-26T13:43:54.352361
Reliance reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.353941
Hindustan Unilever stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352943
Hindustan Unilever maintains steady performance with 5% growth,1,synthetic,2025-10-26T13:43:54.352091
Infosys stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353219
HDFC Bank results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353997
Hindustan Unilever maintains steady performance with 4% growth,1,synthetic,2025-10-26T13:43:54.354029
TCS stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352714
Infosys reports in-line Q2 results,1,synthetic,2025-10-26T13:43:54.352453
Reliance results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.354499
Reliance maintains steady performance with 8% growth,1,synthetic,2025-10-26T13:43:54.352652
Hindustan Unilever results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.354151
Bharti Airtel results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353411
Infosys stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352266
L&T announces routine management changes,1,synthetic,2025-10-26T13:43:54.352617
ITC announces routine management changes,1,synthetic,2025-10-26T13:43:54.351973
Reliance stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352393
Kotak Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.353063
Asian Paints stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352118
Bharti Airtel announces routine management changes,1,synthetic,2025-10-26T13:43:54.354409
TCS results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.352049
HDFC Bank maintains steady performance with 8% growth,1,synthetic,2025-10-26T13:43:54.353969
Kotak Bank results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353004
Bharti Airtel results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.354726
Bharti Airtel stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.354470
L&T stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353559
Infosys announces routine management changes,1,synthetic,2025-10-26T13:43:54.353439
Reliance results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.354060
L&T stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353307
Company reports steady quarterly performance meeting analyst expectations,1,manual,2025-10-26T13:43:54.359857
HDFC Bank maintains steady performance with 6% growth,1,synthetic,2025-10-26T13:43:54.353798
Stock trades sideways following mixed earnings with no major surprises,1,manual,2025-10-26T13:43:54.359857
Bharti Airtel maintains steady performance with 3% growth,1,synthetic,2025-10-26T13:43:54.354909
Bharti Airtel results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353157
Reliance reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.353694
ITC reports in-line Q2 results,1,synthetic,2025-10-26T13:43:54.353379
Asian Paints stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.354696
HDFC Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.353664
Reliance maintains steady performance with 2% growth,1,synthetic,2025-10-26T13:43:54.354223
Reliance reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.352869
HDFC Bank reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.354939
L&T reports in-line Q1 results,1,synthetic,2025-10-26T13:43:54.353725
ITC reports in-line Q3 results,1,synthetic,2025-10-26T13:43:54.353851
Asian Paints maintains steady performance with 6% growth,1,synthetic,2025-10-26T13:43:54.354618
TCS announces routine management changes,1,synthetic,2025-10-26T13:43:54.353034
ITC reports in-line Q4 results,1,synthetic,2025-10-26T13:43:54.352775
Kotak Bank stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.354788
Bharti Airtel results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.351924
Asian Paints results meet analyst expectations,1,synthetic,2025-10-26T13:43:54.353499
Infosys stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352529
ITC reports in-line Q2 results,1,synthetic,2025-10-26T13:43:54.351949
L&T announces routine management changes,1,synthetic,2025-10-26T13:43:54.352588
Infosys announces routine management changes,1,synthetic,2025-10-26T13:43:54.354589
TCS maintains steady performance with 5% growth,1,synthetic,2025-10-26T13:43:54.354850
ITC maintains steady performance with 5% growth,1,synthetic,2025-10-26T13:43:54.354181
Infosys maintains steady performance with 8% growth,1,synthetic,2025-10-26T13:43:54.354558
L&T announces routine management changes,1,synthetic,2025-10-26T13:43:54.354440
Kotak Bank announces routine management changes,1,synthetic,2025-10-26T13:43:54.352482
ITC stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353754
Reliance announces routine management changes,1,synthetic,2025-10-26T13:43:54.354089
ITC stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.352297
L&T announces routine management changes,1,synthetic,2025-10-26T13:43:54.354759
ITC stock trades flat following mixed earnings,1,synthetic,2025-10-26T13:43:54.353469
Firm maintains guidance for the year with stable outlook ahead,1,manual,2025-10-26T13:43:54.359857
Reliance shares rally 5% on positive outlook,2,synthetic,2025-10-26T13:43:54.352786
ITC reports 22% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.353893
Reliance beats analyst estimates with 34% revenue growth,2,synthetic,2025-10-26T13:43:54.353863
Asian Paints stock surges 15% on strong 35 results,2,synthetic,2025-10-26T13:43:54.353511
Infosys shares rally 13% on positive outlook,2,synthetic,2025-10-26T13:43:54.353259
Infosys announces major deal worth ₹4774 crores,2,synthetic,2025-10-26T13:43:54.354800
Firm reports exceptional performance exceeding all market estimates,2,manual,2025-10-26T13:43:54.359857
Kotak Bank stock surges 5% on strong 27 results,2,synthetic,2025-10-26T13:43:54.353319
HDFC Bank stock surges 11% on strong 24 results,2,synthetic,2025-10-26T13:43:54.352162
Hindustan Unilever shares rally 5% on positive outlook,2,synthetic,2025-10-26T13:43:54.351803
Asian Paints stock surges 5% on strong 21 results,2,synthetic,2025-10-26T13:43:54.352405
ITC announces major deal worth ₹2231 crores,2,synthetic,2025-10-26T13:43:54.352820
Bharti Airtel announces major deal worth ₹5754 crores,2,synthetic,2025-10-26T13:43:54.354630
Reliance beats analyst estimates with 35% revenue growth,2,synthetic,2025-10-26T13:43:54.354862
Bharti Airtel announces major deal worth ₹4627 crores,2,synthetic,2025-10-26T13:43:54.354266
L&T stock surges 14% on strong 19 results,2,synthetic,2025-10-26T13:43:54.351984
Infosys shares rally 7% on positive outlook,2,synthetic,2025-10-26T13:43:54.354359
Asian Paints reports 24% growth in Q1 earnings,2,synthetic,2025-10-26T13:43:54.352882
Bharti Airtel shares rally 15% on positive outlook,2,synthetic,2025-10-26T13:43:54.352220
L&T stock surges 15% on strong 29 results,2,synthetic,2025-10-26T13:43:54.352665
ITC shares rally 5% on positive outlook,2,synthetic,2025-10-26T13:43:54.354949
Kotak Bank beats analyst estimates with 31% revenue growth,2,synthetic,2025-10-26T13:43:54.353571
L&T announces major deal worth ₹8988 crores,2,synthetic,2025-10-26T13:43:54.352540
Bharti Airtel announces major deal worth ₹4524 crores,2,synthetic,2025-10-26T13:43:54.354236
HDFC Bank beats analyst estimates with 21% revenue growth,2,synthetic,2025-10-26T13:43:54.353231
Kotak Bank shares rally 9% on positive outlook,2,synthetic,2025-10-26T13:43:54.354101
Reliance stock surges 10% on strong 17 results,2,synthetic,2025-10-26T13:43:54.352309
TCS stock surges 16% on strong 31 results,2,synthetic,2025-10-26T13:43:54.353169
Kotak Bank stock surges 5% on strong 31 results,2,synthetic,2025-10-26T13:43:54.353107
Asian Paints reports 19% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.352131
Hindustan Unilever shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.354510
TCS stock surges 11% on strong 25 results,2,synthetic,2025-10-26T13:43:54.352193
Stock hits new 52-week high following positive analyst upgrade,2,manual,2025-10-26T13:43:54.359857
TCS beats analyst estimates with 26% revenue growth,2,synthetic,2025-10-26T13:43:54.354297
Hindustan Unilever stock surges 19% on strong 21 results,2,synthetic,2025-10-26T13:43:54.352726
Kotak Bank reports 25% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.354329
HDFC Bank announces major deal worth ₹1422 crores,2,synthetic,2025-10-26T13:43:54.352008
HDFC Bank beats analyst estimates with 25% revenue growth,2,synthetic,2025-10-26T13:43:54.353809
L&T announces major deal worth ₹1097 crores,2,synthetic,2025-10-26T13:43:54.353601
TCS announces major deal worth ₹3513 crores,2,synthetic,2025-10-26T13:43:54.353076
TCS beats analyst estimates with 21% revenue growth,2,synthetic,2025-10-26T13:43:54.352953
Hindustan Unilever reports 20% growth in Q2 earnings,2,synthetic,2025-10-26T13:43:54.352343
Asian Paints beats analyst estimates with 30% revenue growth,2,synthetic,2025-10-26T13:43:54.353923
ITC shares rally 18% on positive outlook,2,synthetic,2025-10-26T13:43:54.352910
Reliance stock surges 20% on strong 27 results,2,synthetic,2025-10-26T13:43:54.352057
Bharti Airtel reports 25% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.353202
L&T beats analyst estimates with 31% revenue growth,2,synthetic,2025-10-26T13:43:54.353978
Infosys stock surges 18% on strong 29 results,2,synthetic,2025-10-26T13:43:54.354010
Kotak Bank reports 17% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.352696
Infosys reports 33% growth in Q2 earnings,2,synthetic,2025-10-26T13:43:54.352435
Kotak Bank announces major deal worth ₹4372 crores,2,synthetic,2025-10-26T13:43:54.354481
ITC shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.352630
Hindustan Unilever announces major deal worth ₹8292 crores,2,synthetic,2025-10-26T13:43:54.354134
Asian Paints shares rally 6% on positive outlook,2,synthetic,2025-10-26T13:43:54.353392
Asian Paints beats analyst estimates with 23% revenue growth,2,synthetic,2025-10-26T13:43:54.352248
Kotak Bank beats analyst estimates with 19% revenue growth,2,synthetic,2025-10-26T13:43:54.352599
ITC reports 26% growth in Q3 earnings,2,synthetic,2025-10-26T13:43:54.351959
Kotak Bank stock surges 6% on strong 17 results,2,synthetic,2025-10-26T13:43:54.352373
Bharti Airtel beats analyst estimates with 23% revenue growth,2,synthetic,2025-10-26T13:43:54.353046
Asian Paints announces major deal worth ₹2497 crores,2,synthetic,2025-10-26T13:43:54.352102
Infosys announces major deal worth ₹9529 crores,2,synthetic,2025-10-26T13:43:54.354391
Bharti Airtel beats analyst estimates with 16% revenue growth,2,synthetic,2025-10-26T13:43:54.352033
Asian Paints stock surges 8% on strong 26 results,2,synthetic,2025-10-26T13:43:54.353952
Kotak Bank shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.352984
Hindustan Unilever beats analyst estimates with 25% revenue growth,2,synthetic,2025-10-26T13:43:54.354708
L&T beats analyst estimates with 23% revenue growth,2,synthetic,2025-10-26T13:43:54.354451
ITC stock surges 14% on strong 20 results,2,synthetic,2025-10-26T13:43:54.353542
Bharti Airtel beats analyst estimates with 35% revenue growth,2,synthetic,2025-10-26T13:43:54.353422
ITC beats analyst estimates with 30% revenue growth,2,synthetic,2025-10-26T13:43:54.354041
Reliance stock surges 15% on strong 30 results,2,synthetic,2025-10-26T13:43:54.353290
Stock price jumps 15% after company beats earnings expectations significantly,2,manual,2025-10-26T13:43:54.359857
TCS beats analyst estimates with 22% revenue growth,2,synthetic,2025-10-26T13:43:54.353768
Shares rally on news of major acquisition deal boosting market confidence,2,manual,2025-10-26T13:43:54.359857
Bharti Airtel beats analyst estimates with 15% revenue growth,2,synthetic,2025-10-26T13:43:54.354892
Asian Paints shares rally 6% on positive outlook,2,synthetic,2025-10-26T13:43:54.353137
TCS shares rally 18% on positive outlook,2,synthetic,2025-10-26T13:43:54.353676
L&T reports 20% growth in Q4 earnings,2,synthetic,2025-10-26T13:43:54.353359
L&T shares rally 12% on positive outlook,2,synthetic,2025-10-26T13:43:54.354677
Bharti Airtel shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.353643
Infosys stock surges 6% on strong 25 results,2,synthetic,2025-10-26T13:43:54.354193
Kotak Bank reports 26% growth in Q1 earnings,2,synthetic,2025-10-26T13:43:54.352850
Kotak Bank announces major deal worth ₹1151 crores,2,synthetic,2025-10-26T13:43:54.354921
HDFC Bank beats analyst estimates with 20% revenue growth,2,synthetic,2025-10-26T13:43:54.353707
Infosys announces major deal worth ₹6995 crores,2,synthetic,2025-10-26T13:43:54.353835
Bharti Airtel beats analyst estimates with 16% revenue growth,2,synthetic,2025-10-26T13:43:54.354600
Reliance shares rally 17% on positive outlook,2,synthetic,2025-10-26T13:43:54.353017
Bharti Airtel shares rally 14% on positive outlook,2,synthetic,2025-10-26T13:43:54.352756
L&T shares rally 20% on positive outlook,2,synthetic,2025-10-26T13:43:54.354770
Hindustan Unilever beats analyst estimates with 28% revenue growth,2,synthetic,2025-10-26T13:43:54.351905
ITC shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.353480
HDFC Bank announces major deal worth ₹8311 crores,2,synthetic,2025-10-26T13:43:54.352508
Reliance shares rally 11% on positive outlook,2,synthetic,2025-10-26T13:43:54.351934
Reliance announces major deal worth ₹7930 crores,2,synthetic,2025-10-26T13:43:54.352570
Reliance stock surges 8% on strong 26 results,2,synthetic,2025-10-26T13:43:54.354571
L&T announces major deal worth ₹7231 crores,2,synthetic,2025-10-26T13:43:54.354832
L&T shares rally 14% on positive outlook,2,synthetic,2025-10-26T13:43:54.354163
TCS stock surges 6% on strong 22 results,2,synthetic,2025-10-26T13:43:54.354540
TCS reports 19% growth in Q2 earnings,2,synthetic,2025-10-26T13:43:54.354421
TCS beats analyst estimates with 34% revenue growth,2,synthetic,2025-10-26T13:43:54.352464
Asian Paints shares rally 10% on positive outlook,2,synthetic,2025-10-26T13:43:54.353736
HDFC Bank stock surges 15% on strong 24 results,2,synthetic,2025-10-26T13:43:54.354071
Kotak Bank announces major deal worth ₹3538 crores,2,synthetic,2025-10-26T13:43:54.352279
L&T beats analyst estimates with 31% revenue growth,2,synthetic,2025-10-26T13:43:54.354739
Infosys stock surges 6% on strong 18 results,2,synthetic,2025-10-26T13:43:54.353451
Company announces record quarterly profits with strong revenue growth,2,manual,2025-10-26T13:43:54.359857
